Decade,Count
1010,15
1030,2
1040,6
1050,2
1060,7
1080,1
1090,13
1120,2
1140,32
1150,2
1160,8
1170,2
1180,14
1200,48
1210,31
1220,6
1240,6
1260,8
1270,10
1280,7
1290,2
1300,4
1310,8
1320,11
1330,20
1340,6
1350,0
1360,0
1370,6
1380,17
1400,8
1410,13
1420,8
1430,9
1440,2
1450,12
1460,6
1470,14
1480,8
1490,26
1500,37
1510,27
1520,79
1530,36
1540,25
1550,31
1560,37
1570,21
1580,15
1590,33
1600,32
1610,32
1620,22
1630,16
1640,50
1650,40
1660,14
1670,39
1680,59
1690,0
1700,47
1710,47
1720,7
1730,21
1740,33
1750,46
1760,22
1770,34
1780,30
1790,84
1800,144
1810,173
1820,56
1830,81
1840,79
1850,116
1860,184
1870,76
1880,36
1890,103
1900,43
1910,211
1920,70
1930,169
1940,104
1950,77
1960,133
1970,134
1980,70
1990,216
2000,102
2010,76
