Decade,Count
1010,6
1030,1
1040,2
1050,1
1060,3
1080,1
1090,1
1120,1
1140,2
1150,1
1160,2
1170,1
1180,3
1200,6
1210,4
1220,1
1240,2
1260,5
1270,2
1280,1
1290,1
1300,2
1310,2
1320,3
1330,3
1340,3
1350,1
1360,1
1370,1
1380,5
1400,5
1410,3
1420,3
1430,2
1440,1
1450,4
1460,4
1470,5
1480,3
1490,6
1500,7
1510,11
1520,14
1530,10
1540,4
1550,7
1560,9
1570,5
1580,5
1590,8
1600,5
1610,8
1620,8
1630,6
1640,20
1650,11
1660,7
1670,9
1680,12
1690,2
1700,7
1710,7
1720,5
1730,5
1740,8
1750,8
1760,9
1770,10
1780,14
1790,20
1800,40
1810,48
1820,22
1830,27
1840,32
1850,30
1860,53
1870,28
1880,13
1890,31
1900,16
1910,47
1920,26
1930,25
1940,23
1950,18
1960,44
1970,27
1980,24
1990,49
2000,35
2010,18
